time,accel[0],accel[1],accel[2],global_accel[0],global_accel[1],global_accel[2],global_accel_avg[0],global_accel_avg[1],global_accel_avg[2],global_vel_avg[0],global_vel_avg[1],global_vel_avg[2]
946685054.6450187,-0.078000001609325409,0.0625,-4.9530000686645508,0.0031705065630376339,0.09990093857049942,-4.9530000686645508,0.0031705065630376339,0.09990093857049942,-4.9530000686645508,0.0,0.0,0.0
946685054.6837455,-0.085500001907348633,0.07774999737739563,-7.3980002403259277,0.010866031050682068,0.1150532141327858,-7.3980002403259277,0.0070182690396904945,0.10747707635164261,-6.1754999160766602,0.0,0.0,0.0
946685054.7149955,-0.26125001907348633,0.10137499868869781,-8.699000358581543,-0.075729668140411377,0.26980265974998474,-8.699000358581543,-0.020564377307891846,0.16158559918403625,-7.0166668891906738,0.0,0.0,0.0
946685054.754058,-0.31812500953674316,0.11318749934434891,-9.3649997711181641,-0.10042018443346024,0.32238286733627319,-9.3649997711181641,-0.040528327226638794,0.20178490877151489,-7.6037502288818359,0.0,0.0,0.0
946685054.785308,-0.26806250214576721,0.13459375500679016,-9.7135000228881836,-0.053249645978212357,0.29519054293632507,-9.7135000228881836,-0.043072592467069626,0.22046603262424469,-8.025700569152832,0.0,0.0,0.0
946685054.82440102,-0.25903123617172241,0.11379687488079071,-9.7627506256103516,-0.064462572336196899,0.27548408508300781,-9.7627506256103516,-0.046637587249279022,0.22963571548461914,-8.3152084350585938,0.0,0.0,0.0
946685054.863433,-0.28551560640335083,0.15039843320846558,-9.8813753128051758,-0.051084686070680618,0.31863647699356079,-9.8813753128051758,-0.047272887080907822,0.24235011637210846,-8.5389461517333984,0.0,0.0,0.0
946685054.910308,-0.28325778245925903,0.12169921398162842,-9.8466873168945312,-0.072683751583099365,0.29960429668426514,-9.8466873168945312,-0.050449244678020477,0.24950689077377319,-8.7024135589599609,0.0,0.0,0.0
946685054.94943154,-0.32912889122962952,0.16984960436820984,-9.9233436584472656,-0.061705466359853745,0.36519467830657959,-9.9233436584472656,-0.051699936389923096,0.262361079454422,-8.8380727767944336,0.0,0.0,0.0
946685054.9806205,-0.32056444883346558,0.16292479634284973,-9.8831720352172852,-0.062103398144245148,0.35418811440467834,-9.8831720352172852,-0.052740283310413361,0.27154377102851868,-8.9425830841064453,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.0274955,-0.16028222441673279,0.14396239817142487,-9.8320865631103516,0.018937228247523308,0.2146088182926178,-9.8320865631103516,0.018937228247523308,0.2146088182926178,-9.8320865631103516,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.05889809,-0.080141112208366394,0.087481200695037842,-9.9160432815551758,0.02186586894094944,0.11660806834697723,-9.9160432815551758,0.020401548594236374,0.16560843586921692,-9.8740653991699219,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.09777749,-0.11807055771350861,0.090240597724914551,-9.9580211639404297,0.001306273858062923,0.14860120415687561,-9.9580211639404297,0.014036457054316998,0.15993936359882355,-9.9020509719848633,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.1368705,-0.13703528046607971,0.12312030047178268,-9.9320106506347656,0.016220899298787117,0.18350520730018616,-9.9320106506347656,0.014582567848265171,0.1658308207988739,-9.909541130065918,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.17596352,-0.24001763761043549,0.10806015133857727,-9.9500055313110352,-0.057638287544250488,0.25683319568634033,-9.9500055313110352,0.00013839677558280528,0.18403129279613495,-9.9176340103149414,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.20727456,-0.19800882041454315,0.10053007304668427,-9.9125022888183594,-0.038445804268121719,0.21871376037597656,-9.9125022888183594,-0.0062923035584390163,0.18981170654296875,-9.916778564453125,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.2462455,-0.11450441181659698,0.065765038132667542,-9.8467512130737305,-0.016129307448863983,0.13105779886245728,-9.8467512130737305,-0.0076975896954536438,0.1814182847738266,-9.9067745208740234,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.28527749,-0.21325221657752991,0.095382519066333771,-9.9073753356933594,-0.051712572574615479,0.22781603038311005,-9.9073753356933594,-0.013199462555348873,0.18721801042556763,-9.9068498611450195,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.32443154,-0.23162610828876495,0.094191260635852814,-9.9221878051757812,-0.063694044947624207,0.24179685115814209,-9.9221878051757812,-0.018809972330927849,0.19328232109546661,-9.9085540771484375,-0.01769973523914814,0.091130577027797699,-3.0011470317840576
946685055.363433,-0.1623130589723587,0.14059562981128693,-9.9140939712524414,0.015025429427623749,0.21421226859092712,-9.9140939712524414,-0.015426431782543659,0.19537532329559326,-9.9091081619262695,-0.022882051765918732,0.15676447749137878,-6.3299880027770996
946685055.40252602,-0.12765653431415558,0.10129781067371368,-9.9410476684570312,0.0043962355703115463,0.16290521621704102,-9.9410476684570312,0.0043962355703115463,0.16290521621704102,-9.9410476684570312,-0.022882051765918732,0.15676447749137878,-6.3299880027770996
946685055.44149697,-0.2043282687664032,0.12864890694618225,-9.9705238342285156,-0.019748879596590996,0.24064613878726959,-9.9705238342285156,-0.0076763220131397247,0.20177567005157471,-9.9557857513427734,-0.022882051765918732,0.15676447749137878,-6.3299880027770996
946685055.4806205,-0.14866413176059723,0.11082445085048676,-9.9067621231079102,-0.00059365940978750587,0.18542580306529999,-9.9067621231079102,-0.0053154346533119678,0.19632571935653687,-9.9394445419311523,-0.022882051765918732,0.15676447749137878,-6.3299880027770996
