time,accel[0],accel[1],accel[2],global_accel[0],global_accel[1],global_accel[2],global_accel_avg[0],global_accel_avg[1],global_accel_avg[2]
1292281788.6752951,0.078000001609325409,-0.01549999974668026,-4.8905000686645508,0.42473733425140381,-0.01549999974668026,-4.872645378112793,0.42473733425140381,-0.01549999974668026,-4.872645378112793
1292281788.7040436,0.085500001907348633,-0.038750000298023224,-7.3202500343322754,0.085500001907348633,-0.038750000298023224,-7.3202500343322754,0.25511866807937622,-0.027125000953674316,-6.0964479446411133
1292281788.7200403,0.073750004172325134,-0.019375000149011612,-8.5351247787475586,0.073750004172325134,-0.019375000149011612,-8.5351247787475586,0.19466245174407959,-0.024541666731238365,-6.9093403816223145
1292281788.7552929,-0.025624997913837433,0.021312499418854713,-9.2515621185302734,-0.025624997913837433,0.021312499418854713,-9.2515621185302734,0.13959059119224548,-0.013078125193715096,-7.4948959350585938
1292281788.7719173,0.018187500536441803,0.041656248271465302,-9.6097812652587891,0.018187500536441803,0.041656248271465302,-9.6097812652587891,0.11530997604131699,-0.0021312504541128874,-7.9178729057312012
1292281788.8032956,0.040093749761581421,0.036328122019767761,-9.7108907699584961,0.040093749761581421,0.036328122019767761,-9.7108907699584961,0.10277393460273743,0.0042786449193954468,-8.2167091369628906
1292281788.8239183,0.08254687488079071,0.0491640605032444,-9.7929458618164062,0.08254687488079071,0.0491640605032444,-9.7929458618164062,0.099884353578090668,0.010690847411751747,-8.4418859481811523
1292281788.8557923,0.025773437693715096,0.0245820302516222,-9.8804731369018555,0.025773437693715096,0.0245820302516222,-9.8804731369018555,0.090620487928390503,0.012427245266735554,-8.6217098236083984
1292281788.8807931,0.043886717408895493,-0.0032089846208691597,-9.8617362976074219,0.043886717408895493,-0.0032089846208691597,-9.8617362976074219,0.085427850484848022,0.010689886286854744,-8.759490966796875
1292281788.9009175,0.0064433589577674866,-0.0016044923104345798,-9.8838682174682617,0.0064433589577674866,-0.0016044923104345798,-9.8838682174682617,0.077529400587081909,0.0094604482874274254,-8.8719291687011719
1292281788.9272964,0.081221684813499451,-0.00080224615521728992,-9.8324337005615234,0.081221684813499451,-0.00080224615521728992,-9.8324337005615234,0.081221684813499451,-0.00080224615521728992,-9.8324337005615234
1292281788.9513009,0.025110842660069466,-0.031401123851537704,-9.8692169189453125,0.025110842660069466,-0.031401123851537704,-9.8692169189453125,0.053166262805461884,-0.016101684421300888,-9.850825309753418
1292281788.9832969,0.043555419892072678,-0.046700559556484222,-9.8406085968017578,0.043555419892072678,-0.046700559556484222,-9.8406085968017578,0.049962647259235382,-0.026301309466362,-9.8474197387695312
1292281789.0153134,0.052777707576751709,-0.023350279778242111,-9.8733043670654297,0.052777707576751709,-0.023350279778242111,-9.8733043670654297,0.050666414201259613,-0.025563552975654602,-9.8538913726806641
1292281789.1593115,0.10438885539770126,-0.042675137519836426,-9.7646522521972656,0.10438885539770126,-0.042675137519836426,-9.7646522521972656,0.061410903930664062,-0.028985869139432907,-9.8360433578491211
1292281789.1792994,0.021194428205490112,-0.067837566137313843,-9.7883262634277344,0.021194428205490112,-0.067837566137313843,-9.7883262634277344,0.054708156734704971,-0.035461150109767914,-9.8280906677246094
1292281789.2153075,-0.020402785390615463,-0.11191878467798233,-9.784663200378418,-0.020402785390615463,-0.11191878467798233,-9.784663200378418,0.043978020548820496,-0.04638366773724556,-9.8218870162963867
1292281789.2352984,-0.041201390326023102,-0.071459390223026276,-9.7983322143554688,-0.041201390326023102,-0.071459390223026276,-9.7983322143554688,0.033330593258142471,-0.049518134444952011,-9.8189430236816406
1292281789.2593021,-0.0051006954163312912,-0.066729694604873657,-9.8206663131713867,-0.0051006954163312912,-0.066729694604873657,-9.8206663131713867,0.029060449451208115,-0.051430530846118927,-9.8191347122192383
1292281789.3313003,0.028449650853872299,-0.079864844679832458,-9.8478336334228516,0.028449650853872299,-0.079864844679832458,-9.8478336334228516,0.028999369591474533,-0.05427396297454834,-9.8220043182373047
1292281789.3552999,0.029724825173616409,-0.07093241810798645,-9.7674169540405273,0.029724825173616409,-0.07093241810798645,-9.7674169540405273,0.029724825173616409,-0.07093241810798645,-9.7674169540405273
1292281789.3793011,0.061362415552139282,-0.035466209053993225,-9.8522090911865234,0.061362415552139282,-0.035466209053993225,-9.8522090911865234,0.045543618500232697,-0.053199313580989838,-9.8098125457763672
1292281789.403425,0.030681207776069641,-0.0022331047803163528,-9.8011045455932617,0.030681207776069641,-0.0022331047803163528,-9.8011045455932617,0.040589481592178345,-0.036210577934980392,-9.8069095611572266
1292281789.4473016,0.03084060363471508,-0.1261165589094162,-9.7755527496337891,0.03084060363471508,-0.1261165589094162,-9.7755527496337891,0.038152262568473816,-0.058687072247266769,-9.7990703582763672
1292281789.4953022,-0.062579698860645294,-0.03205827996134758,-9.8407764434814453,-0.062579698860645294,-0.03205827996134758,-9.8407764434814453,0.018005870282649994,-0.053361315280199051,-9.8074111938476562
1292281789.5193019,-0.046789847314357758,-0.00052914023399353027,-9.8578882217407227,-0.046789847314357758,-0.00052914023399353027,-9.8578882217407227,0.0072065838612616062,-0.04455595463514328,-9.8158245086669922
1292281789.5512965,0.05460507795214653,-0.062764570116996765,-9.7879447937011719,0.05460507795214653,-0.062764570116996765,-9.7879447937011719,0.013977797701954842,-0.047157187014818192,-9.8118419647216797
1292281789.6232991,-0.019197462126612663,-0.1248822882771492,-9.7844724655151367,-0.019197462126612663,-0.1248822882771492,-9.7844724655151367,0.0098308902233839035,-0.05687282606959343,-9.8084211349487305
